0.17,1.1754,-0.0094218,0.013212,0.98999,-0.082044,-0.076624,0.085548,6.6856,-1.254,-0.65014,-2.8766,-4.9674,2.0525
0.18,1.2436,-0.010422,0.01893,0.98541,-0.096107,-0.10182,0.096727,6.6245,-1.3749,-0.89893,-2.6028,-5.031,2.0365
0.19,1.3112,-0.010854,0.027757,0.98049,-0.10574,-0.12599,0.10759,6.5526,-1.4827,-1.1011,-2.4021,-4.9405,1.9775
0.2,1.3787,-0.011286,0.036584,0.97477,-0.11529,-0.15006,0.11836,6.4808,-1.5905,-1.3032,-2.2014,-4.85,1.9186
0.21,1.4463,-0.011718,0.04541,0.96825,-0.12475,-0.174,0.12904,6.409,-1.6984,-1.5054,-2.0008,-4.7596,1.8597
0.22,1.513,-0.011499,0.057188,0.96154,-0.13234,-0.19655,0.1389,6.3356,-1.7932,-1.6775,-1.804,-4.6499,1.7773
0.23,1.5783,-0.01013,0.074172,0.95529,-0.13672,-0.21676,0.14742,6.2593,-1.8652,-1.7965,-1.6142,-4.5065,1.6535
0.24,1.6436,-0.0087617,0.091157,0.94853,-0.14104,-0.23685,0.15587,6.1831,-1.9371,-1.9156,-1.4244,-4.363,1.5297
0.25,1.7089,-0.0073931,0.10814,0.94126,-0.14528,-0.25682,0.16423,6.1068,-2.009,-2.0346,-1.2345,-4.2196,1.4059
0.26,1.7742,-0.0060246,0.12513,0.93348,-0.14943,-0.27665,0.1725,6.0306,-2.081,-2.1537,-1.0447,-4.0762,1.2821
0.27,1.8396,-0.004656,0.14211,0.92519,-0.15351,-0.29633,0.18068,5.9543,-2.1529,-2.2728,-0.8549,-3.9327,1.1583
0.28,1.9049,-0.0032874,0.15909,0.91641,-0.15751,-0.31585,0.18876,5.8781,-2.2249,-2.3918,-0.66508,-3.7893,1.0345
0.29,1.9679,-0.00041835,0.18176,0.90923,-0.15736,-0.33221,0.19538,5.8211,-2.282,-2.4636,-0.42611,-3.6483,0.9093
0.3,2.0293,0.0034037,0.20804,0.90309,-0.15457,-0.34657,0.20106,5.7763,-2.3297,-2.5054,-0.15592,-3.5088,0.78322
0.31,2.0908,0.0072258,0.23431,0.89669,-0.15174,-0.36083,0.20668,5.7315,-2.3774,-2.5472,0.11426,-3.3693,0.65715
0.32,2.1523,0.011048,0.26059,0.89004,-0.14887,-0.37499,0.21225,5.6866,-2.4252,-2.589,0.38444,-3.2298,0.53107
0.33,2.2138,0.01487,0.28687,0.88313,-0.14595,-0.38905,0.21776,5.6418,-2.4729,-2.6308,0.65462,-3.0903,0.40499
0.34,2.2753,0.018692,0.31314,0.87598,-0.14299,-0.40299,0.2232,5.597,-2.5206,-2.6726,0.92481,-2.9509,0.27891
